B081,UnixEpochMilliseconds
-139,1648728710186
-135,1648728710186
-131,1648728710186
-118,1648728710186
-109,1648728710186
-117,1648728710186
-110,1648728710186
-116,1648728710186
-119,1648728710186
-109,1648728710186
-132,1648728710186
-132,1648728710186
-117,1648728710186
-119,1648728710186
-130,1648728710186
-145,1648728710186
-144,1648728710186
-126,1648728710186
-123,1648728710186
-128,1648728710186
-128,1648728710186
-131,1648728710186
-103,1648728710186
-117,1648728710186
-122,1648728710186
-128,1648728710186
-137,1648728710186
-136,1648728710186
-139,1648728710186
-138,1648728710186
-139,1648728710186
-126,1648728710186
-126,1648728710186
-126,1648728710186
-135,1648728710186
-131,1648728710186
-118,1648728710186
-109,1648728710186
-108,1648728710186
-105,1648728710186
-122,1648728710186
-123,1648728710186
-116,1648728710186
-131,1648728710186
-121,1648728710186
-120,1648728710186
-126,1648728710186
-123,1648728710186
-131,1648728710186
-145,1648728710186
-120,1648728710186
-123,1648728710186
-137,1648728710186
-142,1648728710186
-148,1648728710186
-139,1648728710186
-144,1648728710186
-117,1648728710186
-110,1648728710186
-111,1648728710186
-107,1648728710186
-130,1648728710186
-124,1648728710186
-106,1648728710186
-109,1648728710186
-108,1648728710186
-108,1648728710186
-117,1648728710186
-122,1648728710186
-110,1648728710186
-128,1648728710186
-128,1648728710186
-128,1648728710186
-134,1648728710186
-119,1648728710186
-139,1648728710186
-138,1648728710186
-132,1648728710186
-141,1648728710186
-140,1648728710186
-143,1648728710186
-151,1648728710186
-135,1648728710186
-137,1648728710186
-139,1648728710186
-138,1648728710186
-147,1648728710186
-146,1648728710186
-138,1648728710186
-145,1648728710186
-138,1648728710186
-111,1648728710186
-125,1648728710186
-118,1648728710186
-106,1648728710186
-118,1648728710186
-118,1648728710186
-139,1648728710186
-129,1648728710186
-110,1648728710186
-125,1648728710186
-130,1648728710186
-115,1648728710186
-117,1648728710186
-131,1648728710186
-112,1648728710186
-124,1648728710186
-145,1648728710186
-132,1648728710186
-117,1648728710186
-113,1648728710186
-118,1648728710186
-133,1648728710186
-135,1648728710186
-134,1648728710186
-131,1648728710186
-145,1648728710186
-147,1648728710186
-128,1648728710186
-131,1648728710186
-112,1648728710186
-119,1648728710186
-136,1648728710186
-139,1648728710186
-147,1648728710186
-140,1648728710186
-152,1648728710186
-155,1648728710186
-148,1648728710186
-139,1648728710186
-129,1648728710186
-137,1648728710186
-127,1648728710186
-117,1648728710186
-125,1648728710186
-97,1648728710186
-111,1648728710186
-113,1648728710186
-94,1648728710186
-109,1648728710186
-99,1648728710186
-104,1648728710186
-119,1648728710186
-121,1648728710186
-108,1648728710186
-108,1648728710186
-114,1648728710186
-120,1648728710186
-120,1648728710186
-117,1648728710186
-119,1648728710186
-118,1648728710186
-127,1648728710186
-117,1648728710186
-122,1648728710186
-101,1648728710186
-106,1648728710186
-139,1648728710186
-114,1648728710186
-115,1648728710186
-114,1648728710186
-117,1648728710186
-128,1648728710186
-137,1648728710186
-142,1648728710186
-143,1648728710186
-160,1648728710186
-145,1648728710186
-150,1648728710186
-159,1648728710186
-140,1648728710186
-123,1648728710186
-128,1648728710186
-107,1648728710186
-109,1648728710186
-135,1648728710186
-128,1648728710186
-119,1648728710186
-103,1648728710186
-114,1648728710186
-111,1648728710186
-119,1648728710186
-124,1648728710186
-112,1648728710186
-127,1648728710186
-138,1648728710186
-129,1648728710186
-131,1648728710186
-118,1648728710186
-112,1648728710186
-106,1648728710186
-106,1648728710186
-112,1648728710186
-115,1648728710186
-132,1648728710186
-141,1648728710186
-146,1648728710186
-135,1648728710186
-137,1648728710186
-142,1648728710186
-124,1648728710186
-130,1648728710186
-148,1648728710186
-139,1648728710186
-129,1648728710186
-128,1648728710186
-125,1648728710186
-109,1648728710186
-111,1648728710186
-128,1648728710186
-125,1648728710186
-118,1648728710186
-122,1648728710186
-120,1648728710186
-136,1648728710186
-137,1648728710186
-127,1648728710186
-129,1648728710186
-122,1648728710186
-125,1648728710186
-115,1648728710186
-111,1648728710186
-95,1648728710186
-88,1648728710186
-100,1648728710186
-112,1648728710186
-121,1648728710186
-114,1648728710186
-120,1648728710186
-120,1648728710186
-126,1648728710186
-138,1648728710186
-126,1648728710186
-123,1648728710186
-122,1648728710186
-122,1648728710186
-140,1648728710186
-122,1648728710186
-113,1648728710186
-121,1648728710186
-117,1648728710186
-122,1648728710186
-122,1648728710186
-119,1648728710186
-121,1648728710186
-132,1648728710186
-144,1648728710186
-135,1648728710186
-137,1648728710186
-154,1648728710186
-136,1648728710186
-130,1648728710186
-127,1648728710186
-129,1648728710186
-143,1648728710186
-124,1648728710186
-115,1648728710186
-117,1648728710186
-128,1648728710186
-128,1648728710186
-113,1648728710186
-109,1648728710186
-99,1648728710186
-104,1648728710186
-125,1648728710186
-130,1648728710186
-128,1648728710186
-129,1648728710186
-137,1648728710186
-136,1648728710186
-115,1648728710186
-117,1648728710186
-128,1648728710186
-104,1648728710186
-92,1648728710186
-95,1648728710186
-94,1648728710186
-112,1648728710186
-118,1648728710186
-139,1648728710186
-129,1648728710186
-125,1648728710186
-133,1648728710186
-126,1648728710186
-129,1648728710186
-128,1648728710186
-134,1648728710186
-116,1648728710186
-119,1648728710186
-136,1648728710186
-112,1648728710186
-127,1648728710186
-129,1648728710186
-113,1648728710186
-133,1648728710186
-132,1648728710186
-123,1648728710186
-128,1648728710186
-140,1648728710186
-134,1648728710186
-113,1648728710186
-118,1648728710186
-121,1648728710186
-129,1648728710186
-134,1648728710186
-116,1648728710186
-110,1648728710186
-104,1648728710186
-104,1648728710186
-113,1648728710186
-97,1648728710186
-99,1648728710186
-113,1648728710186
-115,1648728710186
-135,1648728710186
-131,1648728710186
-124,1648728710186
-139,1648728710186
-138,1648728710186
-136,1648728710186
-128,1648728710186
-123,1648728710186
-116,1648728710186
-134,1648728710186
-140,1648728710186
-128,1648728710186
-140,1648728710186
-128,1648728710186
-137,1648728710186
-133,1648728710186
-126,1648728710186
-120,1648728710186
-99,1648728710186
-104,1648728710186
-107,1648728710186
-124,1648728710186
-146,1648728710186
-147,1648728710186
-134,1648728710186
-119,1648728710186
-127,1648728710186
-141,1648728710186
-158,1648728710186
-137,1648728710186
-121,1648728710186
-147,1648728710186
-155,1648728710186
-157,1648728710186
-141,1648728710186
-131,1648728710186
-124,1648728710186
-115,1648728710186
-105,1648728710186
-110,1648728710186
-125,1648728710186
-109,1648728710186
-105,1648728710186
-98,1648728710186
-101,1648728710186
-103,1648728710186
-102,1648728710186
-123,1648728710186
-134,1648728710186
-137,1648728710186
-115,1648728710186
-120,1648728710186
-135,1648728710186
-128,1648728710186
-140,1648728710186
-143,1648728710186
-142,1648728710186
-136,1648728710186
-130,1648728710186
-127,1648728710186
-123,1648728710186
-119,1648728710186
-124,1648728710186
-136,1648728710186
-139,1648728710186
-144,1648728710186
-159,1648728710186
-146,1648728710186
-135,1648728710186
-134,1648728710186
-125,1648728710186
-115,1648728710186
-108,1648728710186
-120,1648728710186
-99,1648728710186
-92,1648728710186
-98,1648728710186
-107,1648728710186
-106,1648728710186
-118,1648728710186
-130,1648728710186
-127,1648728710186
-150,1648728710186
-150,1648728710186
-144,1648728710186
-153,1648728710186
-161,1648728710186
-133,1648728710186
-117,1648728710186
-131,1648728710186
-136,1648728710186
-124,1648728710186
-115,1648728710186
-123,1648728710186
-140,1648728710186
-131,1648728710186
-127,1648728710186
-126,1648728710186
-120,1648728710186
-144,1648728710186
-135,1648728710186
-128,1648728710186
-137,1648728710186
-124,1648728710186
-146,1648728710186
-138,1648728710186
-133,1648728710186
-129,1648728710186
-113,1648728710186
-130,1648728710186
-142,1648728710186
-124,1648728710186
-130,1648728710186
-145,1648728710186
-135,1648728710186
-134,1648728710186
-140,1648728710186
-140,1648728710186
-155,1648728710186
-148,1648728710186
-136,1648728710186
-148,1648728710186
-124,1648728710186
-127,1648728710186
-141,1648728710186
-128,1648728710186
-119,1648728710186
-121,1648728710186
-111,1648728710186
-107,1648728710186
-115,1648728710186
-135,1648728710186
-134,1648728710186
-125,1648728710186
-142,1648728710186
-151,1648728710186
-129,1648728710186
-125,1648728710186
-136,1648728710186
-124,1648728710186
-118,1648728710186
-121,1648728710186
-105,1648728710186
-113,1648728710186
-127,1648728710186
-123,1648728710186
-125,1648728710186
-118,1648728710186
-118,1648728710186
-109,1648728710186
-135,1648728710186
-137,1648728710186
-142,1648728710186
-163,1648728710186
-156,1648728710186
-157,1648728710186
-150,1648728710186
-138,1648728710186
-129,1648728710186
-119,1648728710186
-109,1648728710186
-114,1648728710186
-120,1648728710186
-114,1648728710186
-117,1648728710186
-134,1648728710186
-134,1648728710186
-140,1648728710186
-143,1648728710186
-133,1648728710186
-132,1648728710186
-135,1648728710186
-128,1648728710186
-131,1648728710186
-142,1648728710186
-128,1648728710186
-117,1648728710186
-113,1648728710186
-115,1648728710186
-129,1648728710186
-137,1648728710186
-139,1648728710186
-126,1648728710186
-132,1648728710186
-144,1648728710186
-138,1648728710186
-132,1648728710186
-117,1648728710186
-125,1648728710186
-121,1648728710186
-105,1648728710186
-104,1648728710186
-101,1648728710186
-118,1648728710186
-127,1648728710186
-117,1648728710186
-98,1648728710186
-98,1648728710186
-128,1648728847758
-122,1648728847758
-119,1648728847758
-130,1648728847758
-118,1648728847758
-124,1648728847758
-112,1648728847758
-94,1648728847758
-112,1648728847758
-112,1648728847758
-124,1648728847758
-130,1648728847758
-124,1648728847758
-118,1648728847758
-106,1648728847758
-121,1648728847758
-132,1648728847758
-132,1648728847758
-135,1648728847758
-140,1648728847758
-140,1648728847758
-140,1648728847758
-149,1648728847758
-145,1648728847758
-129,1648728847758
-137,1648728847758
-136,1648728847758
-127,1648728847758
-126,1648728847758
-111,1648728847758
-122,1648728847758
-114,1648728847758
-109,1648728847758
-126,1648728847758
-129,1648728847758
-137,1648728847758
-145,1648728847758
-117,1648728847758
-125,1648728847758
-136,1648728847758
-124,1648728847758
-124,1648728847758
-121,1648728847758
-120,1648728847758
-123,1648728847758
-125,1648728847758
-112,1648728847758
-121,1648728847758
-123,1648728847758
-122,1648728847758
-128,1648728847758
-131,1648728847758
-142,1648728847758
-145,1648728847758
-123,1648728847758
-128,1648728847758
-137,1648728847758
-121,1648728847758
-126,1648728847758
-117,1648728847758
-104,1648728847758
-110,1648728847758
-116,1648728847758
-122,1648728847758
-116,1648728847758
-104,1648728847758
-122,1648728847758
-122,1648728847758
-122,1648728847758
-128,1648728847758
-119,1648728847758
-121,1648728847758
-123,1648728847758
-119,1648728847758
-112,1648728847758
-127,1648728847758
-129,1648728847758
-119,1648728847758
-121,1648728847758
-108,1648728847758
-108,1648728847758
-126,1648728847758
-120,1648728847758
-132,1648728847758
-132,1648728847758
-108,1648728847758
-129,1648728847758
-140,1648728847758
-116,1648728847758
-113,1648728847758
-112,1648728847758
-112,1648728847758
-115,1648728847758
-96,1648728847758
-111,1648728847758
